left,right,match,rule
jf4___hn0___i1____vj43__f37___,i1____xto84_nx2___zr6___vj43__,True,0
i1____d97___qto54_rr02__vj43__,vj43__f45___ek6___vj43__i1____,True,0
tz3___tn6___vj43__vj43__ui1___,i1____f45___md40__hl3___vj43__,True,0
dri57_bzv3__i1____vj43__i1____,f2____ui1___jf4___l07___vj43__,True,0
xa55__ed7___jx84__vj43__i1____,ui1___f45___vj43__s9____nx2___,True,0
o4____h1____i1____vj43__m59___,vj43__hl3___i1____pcc35_g57___,True,0
vj43__i1____gx81__vj22__n7____,mg0___vj43__n1____i1____zzy1__,True,0
lfc12_i1____jsm0__jx84__vj43__,l0____i1____vj43__s9____wad07_,True,0
zal81_vj43__mx08__jy9___i1____,hl3___vj43__i1____a53___o87___,True,0
vj43__a89___v72___i1____m59___,a89___i1____vj43__ux54__vj43__,True,0
jy9___byb9__vj43__i1____hu68__,esl6__i1____hu68__vj43__ek6___,True,0
vj43__w46___i1____n1____n1____,qo7___vj43__i1____ixk4__l0____,True,0
k2____vj43__gl5___i1____l0____,vj43__i1____jf4___v72___vj22__,True,0
vj43__vj43__l0____rut52_i1____,tn6___vj43__wad07_hu68__i1____,True,0
k2____e17___vj43__bru98_i1____,f2____i1____vj43__n7____d97___,True,0
ab50__i1____vj43__rr02__esl6__,ab50__a53___lp3___i1____vj43__,True,0
jsm0__i1____vj43__a53___ek6___,i1____tn6___lj75__vj43__ux87__,True,0
h1____vj43__qo7___i1____hn0___,i1____i28___h1____vj43__lp3___,True,0
i28___jx84__vj43__ze83__i1____,mgb62_vj43__p1____zzy1__ui1___,True,0
tz3___vj43__i1____bzv3__rut52_,o4____qo7___jx84__i1____vj43__,True,0
l07___vj43__j33___i1____zr6___,i1____vj43__bzv3__w2____bzv3__,True,0
qto54_e17___d45___vj43__i1____,y19___i1____ohi59_vj43__m59___,True,0
i1____vj43__lj75__mg0___vj43__,f2____vj43__i1____gl5___f37___,True,0
bx29__l0____ao1___i1____vj43__,i1____zzy1__vj43__hu68__gx81__,True,0
ui1___ov58__vj43__h3____sz2___,i1____lp3___i1____vj43__u85___,True,0
ybj0__jy9___vj43__f37___i1____,vj43__vj43__i1____l0____qto54_,True,0
vj43__k2____e17___i1____ao1___,tvr11_vj43__ybj0__i1____po16__,True,0
j33___vj43__d45___e95___i1____,fs8___vj43__sef9__xrd55_i1____,True,0
vj43__mgb62_jx84__f37___i1____,vj43__o87___ek6___sef9__ui1___,True,0
ui1___h99___h3____y19___vj43__,bx29__vj43__a89___ui1___rr02__,True,0
mgb62_ov58__i1____fs8___vj43__,i1____byb9__ui1___vj43__vj43__,True,0
d97___vj43__gx81__rr02__i1____,olh3__n1____vj43__ze83__i1____,True,0
fs8___ixk4__nx2___i1____vj43__,i1____u85___ek6___vj43__vj22__,True,0
vj43__a89___rut52_po16__ui1___,lj75__i1____esl6__a53___vj43__,True,0
h3____wad07_i1____tvr11_vj43__,i1____zzy1__mg0___vj43__u85___,True,0
jy9___lj75__vj43__i1____u85___,i1____vj43__nx2___d45___i7____,True,0
i7____vj43__mx08__tn6___i1____,vj43__i1____hu68__zal81_ab50__,True,0
tyq0__xto84_k2____vj43__i1____,z37___vj43__i1____bzv3__o4____,True,0
i1____ux87__f37___ohi59_vj43__,byb9__u4____vj43__yf5___i1____,True,0
d45___byb9__vj43__m59___i1____,ui1___vj43__lp3___f45___l07___,True,0
ui1___u85___vj43__a89___yj04__,i1____i7____a89___cdo9__vj43__,True,0
i1____yas1__vj43__d97___g57___,n52___f45___i1____zr6___vj43__,True,0
gl5___i1____vj43__sz2___s9____,u85___z37___md40__vj43__i1____,True,0
ui1___bx29__ov58__h99___vj43__,e17___vj43__yj04__i1____po16__,True,0
wad07_p1____i1____vj43__yf5___,h3____ov58__vj43__zzy1__i1____,True,0
vj43__hl3___fm2___k2____i1____,jsm0__i1____za85__vj43__ao1___,True,0
lfc12_d97___vj43__i1____w2____,h3____i28___i1____vj43__za85__,True,0
vj43__h1____i1____i1____yj04__,cdo9__nx2___vj43__ek6___i1____,True,0
vj43__ov58__i1____xrd55_ybj0__,zal81_bru98_vj43__ixk4__i1____,True,0
yas1__tz3___i1____vj43__o87___,i1____ux54__e95___e17___vj43__,True,0
vj43__tn6___po16__i1____n7____,olh3__n7____i1____ybj0__vj43__,True,0
h1____vj43__i1____xrd55_g57___,ui1___qto54_vj43__y19___f2____,True,0
i1____i1____w46___vj43__ds90__,vj43__ybj0__po16__i1____a53___,True,0
i1____vj43__olh3__dri57_pcc35_,mg0___ed7___p1____vj43__i1____,True,0
a89___vj43__ds90__k2____ui1___,f37___pcc35_mg0___i1____vj43__,True,0
y19___vj43__w46___i1____tn6___,vj43__h99___f45___xa55__i1____,True,0
esl6__vj43__ui1___fm2___gx81__,zal81_i1____z37___xa55__vj43__,True,0
vj43__p1____tyq0__ui1___pcc35_,i1____cdo9__vj43__m59___qo7___,True,0
jy9___i28___o87___i1____vj43__,l0____za85__i1____vj43__i1____,True,0
ui1___l0____vj43__o87___i1____,ui1___vj43__ds90__i1____sz2___,True,0
yj04__vj43__mx08__n52___i1____,a89___i1____vj43__u85___d45___,True,0
gl5___vj43__o4____vj43__ui1___,d45___ab50__vj43__z37___i1____,True,0
y19___i1____vj43__mg0___fm2___,i1____vj43__d97___e17___s9____,True,0
ze83__f37___i1____h23___vj43__,l07___a53___tz3___i1____vj43__,True,0
tn6___i1____bru98_h99___vj43__,sef9__yj04__i1____mgb62_vj43__,True,0
i1____i1____v72___xto84_vj43__,ixk4__tyq0__vj43__i1____lfc12_,True,0
tn6___h3____vj43__ui1___vj43__,i1____ek6___fm2___gl5___vj43__,True,0
vj43__g57___i1____n7____h99___,vj43__ui1___mx08__u4____ohi59_,True,0
s9____vj43__i1____jx84__tyq0__,pcc35_i1____rut52_n52___vj43__,True,0
i1____rr02__vj43__za85__bzv3__,g57___ui1___esl6__tz3___vj43__,True,0
ohi59_a89___i1____ux54__vj43__,l0____vj43__i1____w2____mg0___,True,0
vj43__l0____ui1___yf5___j33___,o4____za85__i1____v72___vj43__,True,0
lj75__i1____vj43__h1____tyq0__,vj43__f45___g57___i1____qo7___,True,0
lj75__za85__i1____vj43__o87___,mgb62_i1____lp3___tz3___vj43__,True,0
vj43__bru98_i1____ze83__l0____,po16__i1____vj43__o4____jy9___,True,0
i1____jx84__vj43__byb9__olh3__,xrd55_i28___vj43__tz3___ui1___,True,0
i1____ux54__yas1__vj43__l0____,hu68__vj43__i1____ed7___cdo9__,True,0
i1____jsm0__y19___lj75__vj43__,po16__vj43__tn6___i1____rut52_,True,0
ux54__ed7___v72___i1____vj43__,lp3___i1____vj43__qo7___w46___,True,0
vj43__zr6___vj22__i1____ui1___,pcc35_i1____m59___ab50__vj43__,True,0
l07___lp3___i1____vj43__n1____,vj43__i1____ybj0__i1____sz2___,True,0
jf4___u85___vj43__i1____i1____,w2____i1____vj43__jy9___u4____,True,0
tvr11_z37___vj43__i1____i1____,i1____vj43__y19___d45___za85__,True,0
ed7___i28___i1____vj43__i1____,g57___cdo9__vj43__i1____i1____,True,0
ui1___vj43__v72___esl6__w2____,k2____i1____lj75__vj43__y19___,True,0
vj43__i1____d45___u4____xto84_,rr02__u4____rut52_i1____vj43__,True,0
ov58__ohi59_ui1___n7____vj43__,jsm0__i1____lj75__p1____vj43__,True,0
esl6__jx84__y19___ui1___vj43__,i1____vj22__vj43__ds90__j33___,True,0
ui1___vj43__h3____w46___ox74__,vj43__vj22__ui1___vj22__olh3__,True,0
i1____ov58__g57___vj43__w46___,d97___d97___vj43__md40__ui1___,True,0
i1____i7____vj43__lfc12_s9____,vj43__p1____ui1___h23___vj43__,True,0
n1____i1____ox74__w2____vj43__,vj43__i1____h23___i1____esl6__,True,0
vj43__jsm0__f37___i1____i1____,vj43__ao1___y19___u4____i1____,True,0
vj43__ds90__jsm0__i1____z37___,u4____zr6___vj43__ui1___qto54_,True,0
rut52_vj43__i1____n7____w2____,e17___l07___vj43__k2____i1____,True,0
vj43__i1____cdo9__e95___pcc35_,gl5___d97___vj43__md40__i1____,True,0
i1____jx84__qo7___vj43__d97___,lj75__vj43__yas1__lp3___i1____,True,0
vj43__mx08__i1____olh3__esl6__,i1____ze83__a53___vj43__ux87__,True,0
yas1__i1____vj43__f45___dri57_,h3____n7____ux54__vj43__i1____,True,0
mg0___dri57_ao1___vj43__ui1___,i1____vj43__n1____jsm0__y19___,True,0
ao1___d97___i1____vj43__nx2___,vj43__ixk4__i1____qto54_ed7___,True,0
ab50__ui1___f45___i1____vj43__,olh3__g57___vj43__f45___i1____,True,0
h1____i1____zal81_vj43__a53___,o87___vj43__i1____l0____ed7___,True,0
vj43__xto84_ui1___hn0___bru98_,mx08__vj43__vj43__i1____i1____,True,0
vj43__m59___xa55__i1____ds90__,rut52_vj43__z37___hn0___i1____,True,0
tn6___i1____y19___vj43__pcc35_,i1____vj43__k2____a53___vj22__,True,0
vj43__i1____tn6___bzv3__za85__,ybj0__jf4___i1____vj43__ed7___,True,0
i1____ybj0__po16__nx2___vj43__,md40__i1____wad07_ab50__vj43__,True,0
zr6___vj43__n7____ui1___ek6___,g57___ed7___wad07_i1____vj43__,True,0
i1____vj43__hn0___olh3__f45___,vj43__w46___tvr11_i1____wad07_,True,0
xto84_n1____jf4___i1____vj43__,qo7___i1____fs8___vj43__xa55__,True,0
rr02__vj43__i1____ox74__rut52_,hn0___hn0___i1____vj43__f45___,True,0
olh3__i1____h3____vj43__h23___,sef9__esl6__vj43__ui1___olh3__,True,0
vj43__xrd55_yas1__i1____i1____,olh3__vj43__i1____md40__mx08__,True,0
yf5___fm2___vj43__i1____p1____,e95___ui1___vj43__z37___gl5___,True,0
h99___i1____n1____i1____vj43__,ui1___bru98_vj43__v72___ux87__,True,0
vj43__a53___i1____ov58__ed7___,gl5___mgb62_y19___vj43__i1____,True,0
zal81_wad07_i1____ds90__vj43__,j33___d45___gl5___ui1___vj43__,True,0
i1____vj43__hn0___yf5___z37___,po16__ov58__ed7___vj43__i1____,True,0
po16__o87___byb9__i1____vj43__,a89___dri57_vj43__y19___i1____,True,0
vj43__byb9__ab50__i1____n1____,s9____ui1___h99___vj43__f45___,True,0
hn0___vj43__hl3___rr02__i1____,i1____mx08__jy9___vj43__qto54_,True,0
u85___w46___vj43__ui1___tz3___,yas1__vj43__i1____qto54_f2____,True,0
vj43__bru98_i1____l0____lfc12_,dri57_l0____vj43__f45___i1____,True,0
rut52_zzy1__mx08__i1____vj43__,i1____vj43__mx08__qo7___yas1__,True,0
olh3__i1____vj43__z37___bx29__,xa55__zzy1__ui1___vj43__vj22__,True,0
tyq0__vj43__ui1___vj43__ohi59_,i1____yj04__vj43__qo7___i1____,True,0
jf4___g57___i1____xa55__vj43__,n7____vj43__gx81__hn0___i1____,True,0
i7____ui1___cdo9__vj43__dri57_,zzy1__xto84_vj43__i1____h3____,True,0
vj43__h1____i1____jx84__gl5___,i7____vj43__u4____ux54__i1____,True,0
i1____vj43__v72___ui1___qo7___,vj43__i1____zzy1__fm2___f37___,True,0
vj43__i28___i1____i7____xa55__,hn0___vj43__ui1___e17___h1____,True,0
i1____y19___gl5___bru98_vj43__,ui1___ao1___cdo9__i1____vj43__,True,0
vj43__ed7___i1____sz2___pcc35_,n7____vj43__gl5___z37___i1____,True,0
ux87__bx29__vj43__i1____bru98_,i1____yas1__s9____fs8___vj43__,True,0
vj43__yj04__i28___i1____tz3___,ui1___ui1___d45___vj43__yf5___,True,0
vj43__o87___vj43__i1____zal81_,vj43__cdo9__za85__zr6___i1____,True,0
yas1__bx29__i1____m59___vj43__,i1____o4____vj43__i1____n7____,True,0
ov58__lj75__sef9__vj43__i1____,vj43__w2____a53___bzv3__ui1___,True,0
vj43__bx29__j33___vj43__i1____,vj43__hn0___qo7___md40__i1____,True,0
i1____hl3___xa55__esl6__vj43__,mx08__vj43__vj22__h1____i1____,True,0
bzv3__vj43__h99___vj22__i1____,vj43__k2____sef9__qto54_i1____,True,0
vj43__yj04__i1____i28___byb9__,tz3___w46___vj43__zal81_i1____,True,0
vj43__i1____olh3__zal81_i1____,vj43__i1____yf5___d45___h99___,True,0
gx81__vj43__po16__ixk4__i1____,vj43__vj22__xto84_i1____nx2___,True,0
vj43__u4____i1____fs8___w2____,i1____u4____ux54__vj43__f37___,True,0
vj43__sz2___xto84_i1____f37___,zzy1__tn6___lfc12_vj43__i1____,True,0
vj43__i1____yas1__h1____i1____,i28___za85__h23___vj43__i1____,True,0
i1____tn6___vj43__tyq0__tvr11_,ux87__bx29__vj43__i1____esl6__,True,0
mgb62_i1____vj43__m59___jx84__,ab50__vj43__md40__i1____zzy1__,True,0
vj43__e95___mg0___vj22__ui1___,m59___o87___d45___vj43__i1____,True,0
md40__vj43__i1____i7____hu68__,bx29__k2____i1____fm2___vj43__,True,0
rr02__bru98_i1____vj43__z37___,tyq0__esl6__vj43__lj75__i1____,True,0
ui1___ek6___vj43__ao1___e95___,vj43__p1____i1____n1____k2____,True,0
i1____qto54_jx84__mgb62_vj43__,f2____vj43__tn6___i1____h1____,True,0
vj43__nx2___hl3___e17___i1____,i1____i1____vj43__h99___f2____,True,0
ixk4__olh3__i1____l0____vj43__,vj43__u4____i1____rut52_i1____,True,0
jy9___lp3___vj43__i1____m59___,i1____zal81_esl6__vj43__f37___,True,0
vj43__ux54__zzy1__cdo9__i1____,gx81__bzv3__jsm0__i1____vj43__,True,0
tz3___i1____po16__tyq0__vj43__,a53___vj43__ui1___nx2___qo7___,True,0
tyq0__i1____w46___vj43__olh3__,dri57_vj43__zal81_i1____gl5___,True,0
vj43__jf4___i1____vj22__qo7___,vj43__h1____i1____s9____gl5___,True,0
u4____vj43__mx08__u4____i1____,vj43__tn6___vj22__jf4___i1____,True,0
h99___a89___vj43__s9____ui1___,vj43__ov58__i1____lfc12_i1____,True,0
i1____yas1__lp3___bzv3__vj43__,z37___ao1___i1____vj43__ox74__,True,0
vj43__i1____tz3___mx08__tz3___,h99___ui1___i7____vj43__bru98_,True,0
bzv3__tyq0__vj43__wad07_i1____,p1____u85___yj04__i1____vj43__,True,0
p1____ed7___i1____vj43__ds90__,ux87__jf4___i1____zr6___vj43__,True,0
u4____i1____ao1___ds90__vj43__,ui1___f37___ox74__vj43__n7____,True,0
l07___i1____jx84__vj43__f2____,vj43__h1____i1____ab50__o4____,True,0
yf5___ui1___jsm0__tyq0__vj43__,ao1___vj43__i1____esl6__m59___,True,0
vj43__l0____i1____fs8___tvr11_,bru98_ux54__i1____vj43__hu68__,True,0
i1____vj43__jy9___yj04__h23___,vj43__pcc35_hu68__za85__i1____,True,0
vj43__i1____fs8___jx84__jf4___,vj43__hu68__vj22__i1____n52___,True,0
vj43__i1____sef9__n1____f2____,bru98_xa55__i1____vj43__qto54_,True,0
h23___ao1___d45___i1____vj43__,i1____vj43__ixk4__mg0___w46___,True,0
lp3___i1____qto54_ov58__vj43__,i1____e17___jsm0__z37___vj43__,True,0
u85___i1____s9____sef9__vj43__,i1____mg0___d45___vj43__ek6___,True,0
lfc12_ox74__hl3___vj43__i1____,i1____vj43__lfc12_zzy1__f45___,True,0
ui1___f37___vj43__d97___vj43__,ux87__xto84_i7____vj43__i1____,True,0
e95___i1____h99___vj43__md40__,i1____sz2___hn0___sz2___vj43__,True,0
j33___j33___i1____ek6___vj43__,vj43__i1____xrd55_po16__lfc12_,True,0
d97___i1____mg0___bzv3__vj43__,bru98_vj43__bru98_tz3___i1____,True,0
f45___vj43__rr02__cdo9__ui1___,tn6___i1____vj43__olh3__bzv3__,True,0
vj43__i1____jf4___a89___esl6__,i1____pcc35_za85__jf4___vj43__,True,0
rut52_i1____vj43__a89___ixk4__,i1____xto84_ui1___ohi59_vj43__,True,0
bx29__vj43__i1____xto84_qo7___,vj43__i1____jy9___jsm0__sef9__,True,0
vj43__po16__vj43__hl3___i1____,mgb62_i1____lj75__vj43__h23___,True,0
d97___vj43__z37___i1____e17___,ab50__i1____yf5___vj43__ux87__,True,0
i7____ov58__i1____vj43__tvr11_,i1____j33___vj43__hn0___nx2___,True,0
lj75__vj43__esl6__mx08__i1____,m59___i1____vj43__hl3___bzv3__,True,0
bru98_i1____ov58__vj43__i28___,tz3___i1____h3____vj43__ao1___,True,0
i28___hl3___i1____vj43__zzy1__,i1____a53___dri57_vj43__mgb62_,True,0
ov58__lj75__i1____vj43__s9____,vj43__bzv3__l07___g57___ui1___,True,0
vj43__vj22__olh3__i1____rr02__,f45___fs8___tz3___i1____vj43__,True,0
mg0___vj43__u4____ui1___md40__,a53___tz3___i1____vj43__sef9__,True,0
m59___vj43__ox74__g57___i1____,vj43__hl3___i1____jy9___sef9__,True,0
vj22__ux87__vj43__ao1___i1____,vj43__m59___i1____ds90__zal81_,True,0
tn6___wad07_i1____bru98_vj43__,i1____j33___byb9__vj43__l0____,True,0
vj43__jx84__bru98_i1____tyq0__,j33___vj43__h1____i1____qto54_,True,0
ui1___hn0___yf5___po16__vj43__,a89___g57___i1____vj43__nx2___,True,0
vj43__g57___n7____o4____i1____,hn0___i1____ohi59_vj43__jy9___,True,0
xto84_i1____vj43__hn0___ed7___,vj43__ov58__i1____e95___mgb62_,True,0
hl3___i1____tz3___vj43__bx29__,md40__gx81__xto84_vj43__i1____,True,0
i1____f37___mx08__xrd55_vj43__,h23___lfc12_i1____ze83__vj43__,True,0
fs8___i1____fs8___rr02__vj43__,vj43__n1____w2____ixk4__i1____,True,0
i1____a89___vj43__bx29__xto84_,cdo9__mg0___i1____vj43__jx84__,True,0
po16__i1____xto84_vj43__yf5___,w2____bru98_ov58__vj43__i1____,True,0
vj43__rut52_i1____u4____zzy1__,l07___i1____vj43__g57___xrd55_,True,0
yf5___vj43__gx81__i1____mgb62_,vj43__u85___i1____k2____rut52_,True,0
i1____vj43__e17___rr02__xto84_,lj75__wad07_ox74__vj43__i1____,True,0
z37___i1____cdo9__vj43__n7____,ds90__i1____vj43__v72___n7____,True,0
i7____n52___i1____xrd55_vj43__,ab50__h1____vj43__ui1___rut52_,True,0
u4____i1____mgb62_jx84__vj43__,i1____zal81_cdo9__ui1___vj43__,True,0
yas1__vj43__vj43__i1____olh3__,sz2___ybj0__jsm0__i1____vj43__,True,0
z37___vj43__zzy1__i1____p1____,ui1___e95___vj43__qto54_lfc12_,True,0
d45___zr6___i1____sz2___vj43__,f37___i1____ybj0__vj43__ux54__,True,0
n7____i1____ohi59_zr6___vj43__,gx81__h23___ux87__vj43__i1____,True,0
vj43__g57___i1____o87___xa55__,vj43__ui1___lj75__vj43__yf5___,True,0
i1____byb9__vj43__h1____lfc12_,k2____ui1___vj43__g57___y19___,True,0
l0____i1____cdo9__f45___vj43__,lp3___y19___i1____vj43__v72___,True,0
i1____tn6___h99___vj43__po16__,vj43__yf5___cdo9__i1____ds90__,True,0
tz3___i1____vj43__mg0___xa55__,j33___i1____n52___vj43__o87___,True,0
tn6___i1____l0____yas1__vj43__,vj43__sef9__jsm0__i1____e95___,True,0
u85___i1____yj04__vj43__esl6__,i1____n1____ux87__vj43__p1____,True,0
i1____yas1__e95___vj43__sz2___,qto54_lfc12_vj43__ui1___zr6___,True,0
f37___ze83__i1____vj43__o87___,ux54__i1____d97___u85___vj43__,True,0
n1____vj43__yas1__i1____lp3___,vj43__w2____ybj0__d97___i1____,True,0
i1____ox74__tvr11_jy9___vj43__,vj43__bru98_qo7___i1____e17___,True,0
yas1__fs8___vj43__i1____h1____,vj43__n7____n7____mgb62_ui1___,True,0
ui1___w46___u85___vj43__u85___,e17___i1____h3____g57___vj43__,True,0
bru98_vj43__i1____mx08__tvr11_,h1____jx84__ui1___g57___vj43__,True,0
i1____zal81_nx2___vj43__vj43__,hn0___vj43__mx08__ui1___za85__,True,0
rr02__vj43__sz2___s9____i1____,vj43__mgb62_h23___ux54__i1____,True,0
fm2___f37___vj43__i1____rr02__,mx08__i28___vj43__i1____u85___,True,0
i1____dri57_vj43__fs8___po16__,m59___vj43__i1____ox74__za85__,True,0
md40__i1____vj43__h99___i1____,i1____u4____i1____vj43__e17___,True,0
vj43__i1____za85__h23___ux54__,vj43__hl3___bru98_ui1___mg0___,True,0
tz3___ux54__vj43__jsm0__i1____,i1____i1____xrd55_d45___vj43__,True,0
i1____vj43__mg0___m59___vj43__,h23___cdo9__esl6__i1____vj43__,True,0
vj43__p1____h99___d97___i1____,h1____hl3___ui1___f2____vj43__,True,0
hn0___i1____sef9__vj43__s9____,tvr11_yf5___zzy1__vj43__i1____,True,0
h99___zr6___i1____vj43__y19___,vj43__vj22__byb9__rr02__ui1___,True,0
n1____h3____bx29__vj43__i1____,ui1___vj43__gx81__tz3___h1____,True,0
vj43__ox74__ux87__ux87__ui1___,vj43__i1____hl3___zr6___jy9___,True,0
jx84__d97___jf4___i1____vj43__,olh3__vj43__i1____i1____ybj0__,True,0
f45___i1____e17___mg0___vj43__,i1____hu68__vj43__h1____yas1__,True,0
ux87__p1____vj43__wad07_ui1___,i1____j33___p1____d97___vj43__,True,0
vj43__jx84__l07___bzv3__i1____,yf5___hn0___i1____vj43__i1____,True,0
fs8___i1____i1____f2____vj43__,v72___tyq0__a53___vj43__ui1___,True,0
vj43__po16__ek6___ds90__i1____,j33___yj04__vj43__s9____i1____,True,0
i1____cdo9__tvr11_i1____vj43__,vj43__bru98_l07___ui1___d45___,True,0
w2____ui1___vj43__po16__s9____,f37___vj43__w46___tn6___i1____,True,0
lfc12_vj43__e95___jsm0__i1____,md40__h99___vj43__i1____h1____,True,0
vj43__ybj0__h3____i1____i1____,vj43__s9____f37___yas1__ui1___,True,0
vj43__o4____ze83__ui1___vj43__,vj43__i1____ov58__l0____hl3___,True,0
u85___i1____vj43__zzy1__o87___,ab50__vj43__nx2___y19___i1____,True,0
vj43__ui1___o87___g57___bzv3__,vj43__ui1___hl3___nx2___vj43__,True,0
vj43__xrd55_i1____e95___h3____,vj43__po16__i1____ox74__ox74__,True,0
y19___vj43__i1____tn6___vj43__,gl5___ed7___i1____cdo9__vj43__,True,0
i1____v72___bru98_i28___vj43__,ui1___vj43__vj43__o87___mg0___,True,0
